Qual a sua expectativa em relação ao serviço?;Muito boa (é o que precisava ha tempos);Boa;Não acho que o mercado precise de um serviço desses;Não sei
Em quanto tempo você espera que o serviço esteja disponível?;3 meses;6 meses;12 meses
Você gostaria de uma versão que considere também dados sobre transporte, educação, violencia... De fontes alternativas?;Sim (as informações fornecidas pelo governo são maquiadas);Não (prefiro contar apenas com dados oficiais do governo)
Quais os meios que você usa hoje para obter informações e encontrar um imóvel em uma cidade pouco conhecida?;Imobiliária;Sites de venda/aluga imovel;Familia/amigos que conhecem um pouco sobre o local
